ID,age,sex,relationship,closeness
S056,6.202283105022832,M,friends,3
S057,9.255479452054795,M,mom_and_child,1
S057,9.255479452054795,M,strangers,6
S057,9.255479452054795,M,friends,4
S058,7.502739726027397,F,mom_and_child,5
S058,7.502739726027397,F,strangers,6
S058,7.502739726027397,F,friends,3
S059,6.877168949771689,M,mom_and_child,4
S059,6.877168949771689,M,strangers,6
S059,6.877168949771689,M,friends,3
