ID,age,sex,target,emotion,closeness
S039,7.399086757990867,M,emo,happy,6
S040,6.6600456621004565,M,fact,sad,4
S040,6.6600456621004565,M,emo,sad,4
S040,6.6600456621004565,M,fact,happy,4
S040,6.6600456621004565,M,emo,happy,3
S041,8.332191780821917,F,fact,sad,3
S041,8.332191780821917,F,emo,sad,1
S041,8.332191780821917,F,fact,happy,2
S041,8.332191780821917,F,emo,happy,2
S042,9.56027397260274,F,fact,sad,5
S042,9.56027397260274,F,emo,sad,4
S042,9.56027397260274,F,fact,happy,5
S042,9.56027397260274,F,emo,happy,4
S044,9.79931506849315,F,fact,sad,5
S044,9.79931506849315,F,emo,sad,4
S044,9.79931506849315,F,fact,happy,4
S044,9.79931506849315,F,emo,happy,4
S045,7.657305936073059,F,fact,sad,2
S045,7.657305936073059,F,emo,sad,4
S045,7.657305936073059,F,fact,happy,3
S045,7.657305936073059,F,emo,happy,3
S046,8.188584474885845,F,fact,sad,4
S046,8.188584474885845,F,emo,sad,3
S046,8.188584474885845,F,fact,happy,5
S046,8.188584474885845,F,emo,happy,4
S047,8.174885844748857,F,fact,sad,4
S047,8.174885844748857,F,emo,sad,3
S047,8.174885844748857,F,fact,happy,4
S047,8.174885844748857,F,emo,happy,3
S048,9.621689497716895,M,fact,sad,5
S048,9.621689497716895,M,emo,sad,4
S048,9.621689497716895,M,fact,happy,5
S048,9.621689497716895,M,emo,happy,5
S049,7.274657534246575,M,fact,sad,6
S049,7.274657534246575,M,emo,sad,6
S049,7.274657534246575,M,fact,happy,4
S049,7.274657534246575,M,emo,happy,4
S050,7.097031963470319,M,fact,sad,3
S050,7.097031963470319,M,emo,sad,4
S050,7.097031963470319,M,fact,happy,3
S050,7.097031963470319,M,emo,happy,3
S051,9.180365296803652,F,fact,sad,5
S051,9.180365296803652,F,emo,sad,4
S051,9.180365296803652,F,fact,happy,4
S051,9.180365296803652,F,emo,happy,5
S052,9.535616438356165,M,fact,sad,6
