,Version,ID,Sex,AgeYears,AgeMonths,AgeDays,Experimenter,Mom_and_Child,Strangers,Friends,character_emotion,Circles_fact_s,Circles_emo_s,Better_Friend_sad,New_Friend_sad,Mom_sad,FriendMom_sad,character_emotion.1,Circles_fact_h,Circles_emo_h,Better_Friend_happy,New_Friend_happy,Mom_happy,FriendMom_happy,condition,item,emotion_shared,answer
119,A,S005,F,9,10,17,Megan,1,6,5,Orin,5,4,1,1,2,2,Cameron,5,4,1,1,2,2,Ice_Cream_happy,Ice,Cream,1
120,B,S006,F,7,11,25,Megan,1,6,5,Orin,5,5,1,1,2,2,Cameron,5,4,0,1,2,1,Ice_Cream_happy,Ice,Cream,0
121,A,S007,F,7,11,0,Megan,4,6,2,Orin,6,1,1,2,2,1,Cameron,4,2,1,1,2,2,Ice_Cream_happy,Ice,Cream,0
122,B,S008,F,8,4,22,Megan,1,6,2,Orin,3,2,1,2,2,2,Cameron,3,2,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
123,A,S009,M,9,9,6,Megan,2,6,3,Orin,4,4,1,1,2,1,Cameron,3,4,0,2,1,1,Ice_Cream_happy,Ice,Cream,1
124,B,S010,F,8,1,5,Megan,4,6,5,Orin,5,5,0,1,2,1,Cameron,5,5,1,2,1,2,Ice_Cream_happy,Ice,Cream,0
125,A,S011,M,7,1,9,Megan,2,5,3,Orin,2,4,0,2,2,1,Cameron,4,3,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
126,B,S012,M,8,5,21,Megan,1,6,4,Orin,4,1,1,2,1,1,Cameron,3,1,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
127,C,S013,M,6,7,2,Megan,4,6,3,Orin,4,4,1,1,2,1,Cameron,4,4,1,1,2,1,Ice_Cream_happy,Ice,Cream,0
128,D,S014,M,6,9,12,Megan,4,6,1,Orin,6,6,1,2,1,2,Cameron,6,6,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
129,C,S015,M,8,8,5,Megan,3,6,4,Orin,4,4,1,2,2,1,Cameron,5,4,1,1,1,2,Ice_Cream_happy,Ice,Cream,1
130,D,S016,M,7,2,10,Megan,1,6,5,Orin,6,5,0,2,2,2,Cameron,4,5,0,1,1,2,Ice_Cream_happy,Ice,Cream,0
131,C,S017,M,6,8,2,Megan,5,6,2,Orin,6,6,1,2,2,1,Cameron,5,6,0,2,2,1,Ice_Cream_happy,Ice,Cream,0
132,D,S018,M,8,1,26,Megan,1,6,4,Orin,5,4,1,1,2,1,Cameron,4,5,1,2,2,1,Ice_Cream_happy,Ice,Cream,1
133,C,S019,M,7,6,4,Megan,3,6,1,Orin,4,6,0,2,2,1,Cameron,1,1,0,2,2,2,Ice_Cream_happy,Ice,Cream,1
134,D,S020,F,9,1,12,Megan,4,6,1,Orin,4,2,1,2,2,2,Cameron,5,5,0,1,2,1,Ice_Cream_happy,Ice,Cream,0
135,C,S021,F,6,5,9,Megan,6,4,5,Orin,3,4,1,1,2,1,Cameron,2,4,0,2,1,2,Ice_Cream_happy,Ice,Cream,1
136,D,S022,F,6,5,9,Megan,1,6,5,Orin,2,6,0,1,1,1,Cameron,1,4,0,1,1,2,Ice_Cream_happy,Ice,Cream,0
137,C,S023,M,7,2,14,Megan,2,6,5,Orin,6,6,1,2,2,1,Cameron,6,5,1,1,2,2,Ice_Cream_happy,Ice,Cream,0
138,D,S024,F,6,9,12,Megan,1,6,5,Orin,5,4,1,1,2,1,Cameron,4,5,0,2,2,1,Ice_Cream_happy,Ice,Cream,0
139,A,S025,F,7,10,7,Megan,3,6,2,Orin,4,2,1,2,2,1,Cameron,4,3,0,1,2,1,Ice_Cream_happy,Ice,Cream,1
140,B,S026,M,6,0,15,Megan,6,5,4,Orin,1,2,0,1,1,1,Cameron,6,5,0,2,1,2,Ice_Cream_happy,Ice,Cream,1
141,C,S027,M,6,11,15,Megan,4,6,1,Orin,5,5,1,1,2,2,Cameron,6,6,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
142,D,S028,F,7,6,27,Megan,1,6,3,Orin,4,5,0,1,2,1,Cameron,4,5,0,2,1,2,Ice_Cream_happy,Ice,Cream,0
143,A,S029,M,6,5,20,Megan,4,6,5,Orin,6,6,1,2,1,2,Cameron,5,6,1,1,1,1,Ice_Cream_happy,Ice,Cream,1
144,B,S030,M,7,1,26,Megan,3,6,5,Orin,6,5,0,2,2,1,Cameron,3,1,0,2,1,2,Ice_Cream_happy,Ice,Cream,1
145,C,S031,M,7,6,29,Megan,4,6,3,Orin,5,5,1,1,2,1,Cameron,5,5,1,1,1,1,Ice_Cream_happy,Ice,Cream,0
146,E,S032,M,8,11,11,Megan,6,6,1,Avery,2,2,1,1,1,1,Riley,3,2,1,1,2,1,Ice_Cream_happy,Ice,Cream,1
147,G,S034,M,7,1,21,Megan,1,6,3,Avery,4,2,1,2,2,2,Riley,4,2,1,1,2,2,Ice_Cream_happy,Ice,Cream,1
