"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","Mom_and_Child","Strangers","Friends","character_emotion","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","condition","answer"
"26","B","S026","M",6,0,15,"Megan",6,5,4,"Orin",0,0,0,1,1,1,"Cameron",0,1,0,2,1,2,"Circles_emo_h",5
"27","C","S027","M",6,11,15,"Megan",4,6,1,"Orin",1,1,1,1,2,2,"Cameron",0,0,0,2,2,2,"Circles_emo_h",6
"28","D","S028","F",7,6,27,"Megan",1,6,3,"Orin",0,1,0,1,2,1,"Cameron",0,0,0,2,1,2,"Circles_emo_h",5
"29","A","S029","M",6,5,20,"Megan",4,6,5,"Orin",1,1,1,2,1,2,"Cameron",1,1,0,1,1,1,"Circles_emo_h",6
"30","B","S030","M",7,1,26,"Megan",3,6,5,"Orin",0,1,1,2,2,1,"Cameron",0,1,1,2,1,2,"Circles_emo_h",1
"31","C","S031","M",7,6,29,"Megan",4,6,3,"Orin",1,0,1,1,2,1,"Cameron",1,0,1,1,1,1,"Circles_emo_h",5
"32","E","S032","M",8,11,11,"Megan",6,6,1,"Avery",1,1,0,1,1,1,"Riley",1,1,1,1,2,1,"Circles_emo_h",2
"33","G","S034","M",7,1,21,"Megan",1,6,3,"Avery",1,1,1,2,2,2,"Riley",1,1,1,1,2,2,"Circles_emo_h",2
"34","H","S035","M",9,1,20,"Megan",4,6,5,"Avery",1,0,0,1,2,1,"Riley",1,0,0,1,2,2,"Circles_emo_h",5
"35","E","S036","M",6,6,24,"Megan",4,6,1,"Avery",0,0,1,1,1,2,"Riley",1,0,1,2,2,1,"Circles_emo_h",4
"36","F","S037","M",8,4,2,"Megan",2,6,4,"Avery",1,0,1,1,1,1,"Riley",1,0,1,2,1,1,"Circles_emo_h",5
"37","G","S038","M",8,11,9,"Megan",1,6,3,"Avery",1,1,1,2,2,2,"Riley",0,0,0,2,2,2,"Circles_emo_h",4
"38","H","S039","M",7,4,24,"Megan",4,6,3,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,1,1,"Circles_emo_h",6
