"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","character_emotion","Circles_fact_s","Circles_emo_s","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Circles_fact_h","Circles_emo_h","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","answer","Strangers"
"44","G","S046","F",8,2,8,"Megan","Avery",4,3,1,1,0,2,2,2,"Riley",5,4,0,0,1,1,1,1,"Friends",4
"45","H","S047","F",8,2,3,"Megan","Avery",4,3,1,1,1,2,2,2,"Riley",4,3,1,1,1,2,2,2,"Friends",5
"46","E","S048","M",9,7,14,"Megan","Avery",5,4,1,1,1,2,2,1,"Riley",5,5,1,0,1,1,1,1,"Friends",5
"47","F","S049","M",7,3,9,"Megan","Avery",6,6,0,1,0,1,2,2,"Riley",4,4,1,0,1,2,1,1,"Friends",2
"48","G","S050","M",7,1,5,"Megan","Avery",3,4,1,1,1,1,1,2,"Riley",3,3,1,1,1,1,1,2,"Friends",3
"49","H","S051","F",9,2,5,"Megan","Avery",5,4,1,0,1,1,2,1,"Riley",4,5,0,1,0,1,1,1,"Friends",5
"50","E","S052","M",9,6,13,"Megan","Avery",6,5,1,1,1,2,2,1,"Riley",6,5,1,1,1,2,1,1,"Friends",4
"51","F","S053","M",7,5,12,"Megan","Avery",5,5,1,0,1,1,2,2,"Riley",4,6,0,1,0,2,2,1,"Friends",4
"52","G","S054","M",8,5,22,"Megan","Avery",5,3,1,1,1,2,2,2,"Riley",1,2,0,0,0,2,2,2,"Friends",2
"53","H","S055","M",6,3,15,"Megan","Avery",3,2,1,1,1,1,1,1,"Riley",6,5,0,1,1,2,2,2,"Friends",3
"54","E","S056","M",6,2,13,"Megan","Avery",5,6,0,1,0,1,1,1,"Riley",6,6,0,0,1,1,1,1,"Friends",3
"55","F","S057","M",9,3,2,"Megan","Avery",4,3,1,0,1,2,2,1,"Riley",3,4,0,1,0,2,2,1,"Friends",4
"56","G","S058","F",7,6,1,"Megan","Avery",5,5,0,0,1,2,1,2,"Riley",5,5,0,0,1,1,1,2,"Friends",3
"57","H","S059","M",6,10,16,"Megan","Avery",6,6,1,1,1,1,2,2,"Riley",6,6,0,0,0,1,1,1,"Friends",3
"58","A","S001","F",8,0,14,"Megan","Orin",6,5,1,1,0,2,1,2,"Cameron",5,5,0,1,0,2,2,1,"Mom_and_Child",3
"59","B","S002","F",8,4,22,"Megan","Orin",5,3,1,1,0,2,1,1,"Cameron",3,5,1,1,0,2,1,1,"Mom_and_Child",2
"60","A","S003","M",7,7,28,"Megan","Orin",5,5,1,1,0,1,2,1,"Cameron",4,5,1,0,1,2,1,2,"Mom_and_Child",3
"61","B","S004","M",6,10,23,"Megan","Orin",6,3,1,1,1,1,2,1,"Cameron",6,3,1,1,1,2,2,2,"Mom_and_Child",1
"62","A","S005","F",9,10,17,"Megan","Orin",5,4,1,1,0,1,2,2,"Cameron",5,4,1,1,0,1,2,2,"Mom_and_Child",1
"63","B","S006","F",7,11,25,"Megan","Orin",5,5,1,0,0,1,2,2,"Cameron",5,4,0,0,0,1,2,1,"Mom_and_Child",1
"64","A","S007","F",7,11,0,"Megan","Orin",6,1,1,1,1,2,2,1,"Cameron",4,2,1,0,1,1,2,2,"Mom_and_Child",4
"65","B","S008","F",8,4,22,"Megan","Orin",3,2,1,1,1,2,2,2,"Cameron",3,2,1,1,1,2,2,2,"Mom_and_Child",1
"66","A","S009","M",9,9,6,"Megan","Orin",4,4,1,0,1,1,2,1,"Cameron",3,4,0,1,0,2,1,1,"Mom_and_Child",2
