ID,population,age,sex,measure,emotion,chose_emotion
A1_016,adult,NA,NA,create,sad,1
A1_017,adult,NA,NA,create,happy,0
A1_017,adult,NA,NA,create,sad,0
A1_018,adult,NA,NA,create,happy,1
A1_018,adult,NA,NA,create,sad,1
A1_019,adult,NA,NA,create,happy,1
A1_019,adult,NA,NA,create,sad,1
A1_020,adult,NA,NA,create,happy,0
A1_020,adult,NA,NA,create,sad,1
A1_021,adult,NA,NA,create,happy,1
A1_021,adult,NA,NA,create,sad,0
A1_022,adult,NA,NA,create,happy,0
A1_022,adult,NA,NA,create,sad,0
A1_023,adult,NA,NA,create,happy,0
A1_023,adult,NA,NA,create,sad,0
A1_024,adult,NA,NA,create,happy,1
A1_024,adult,NA,NA,create,sad,1
A1_025,adult,NA,NA,create,happy,0
A1_025,adult,NA,NA,create,sad,0
A1_026,adult,NA,NA,create,happy,0
A1_026,adult,NA,NA,create,sad,0
A1_027,adult,NA,NA,create,happy,0
A1_027,adult,NA,NA,create,sad,1
A1_028,adult,NA,NA,create,happy,1
A1_028,adult,NA,NA,create,sad,0
A1_029,adult,NA,NA,create,happy,1
A1_029,adult,NA,NA,create,sad,1
A1_030,adult,NA,NA,create,happy,0
A1_030,adult,NA,NA,create,sad,0
A1_031,adult,NA,NA,create,happy,1
A1_031,adult,NA,NA,create,sad,1
A1_032,adult,NA,NA,create,happy,1
A1_032,adult,NA,NA,create,sad,1
A1_033,adult,NA,NA,create,happy,1
A1_033,adult,NA,NA,create,sad,1
A1_034,adult,NA,NA,create,happy,1
A1_034,adult,NA,NA,create,sad,1
A1_035,adult,NA,NA,create,happy,1
A1_035,adult,NA,NA,create,sad,1
A1_036,adult,NA,NA,create,happy,0
A1_036,adult,NA,NA,create,sad,0
A1_037,adult,NA,NA,create,happy,0
A1_037,adult,NA,NA,create,sad,0
A1_038,adult,NA,NA,create,happy,0
A1_038,adult,NA,NA,create,sad,0
A1_039,adult,NA,NA,create,happy,1
A1_039,adult,NA,NA,create,sad,1
A1_040,adult,NA,NA,create,happy,0
A1_040,adult,NA,NA,create,sad,0
A1_041,adult,NA,NA,create,happy,1
A1_041,adult,NA,NA,create,sad,1
A1_042,adult,NA,NA,create,happy,0
A1_042,adult,NA,NA,create,sad,NA
A1_043,adult,NA,NA,create,happy,1
A1_043,adult,NA,NA,create,sad,1
A1_044,adult,NA,NA,create,happy,1
A1_044,adult,NA,NA,create,sad,1
A1_045,adult,NA,NA,create,happy,0
A1_045,adult,NA,NA,create,sad,0
A1_046,adult,NA,NA,create,happy,0
A1_046,adult,NA,NA,create,sad,0
A1_047,adult,NA,NA,create,happy,1
A1_047,adult,NA,NA,create,sad,1
