population,emotion,target,mean,sd,se,n
adult,happy,fact,3.3191489361702127,0.9803810922449756,0.14300327968500995,47
adult,happy,emo,4.191489361702128,0.9921057506821236,0.14471349688826027,47
adult,sad,fact,3.021276595744681,0.9438441678243211,0.13767382151503196,47
adult,sad,emo,4.297872340425532,0.9068553793196162,0.13227845219427578,47
child,happy,fact,2.8421052631578947,1.3730762345422272,0.1818683901368211,57
child,happy,emo,2.8771929824561404,1.3896322154568772,0.18406128337926164,57
child,sad,fact,2.491228070175439,1.2410077560702695,0.1643754928283755,57
child,sad,emo,2.8947368421052633,1.472172963032098,0.19499407247323344,57
