model,term,median,CI_low,CI_high,pct_in_ROPE,pd
study1_circles_child,b_Intercept,2.85,2.48,3.2,0,1
study1_circles_child,b_targetemo,0.03,-0.34,0.43,38.9,0.569
study1_circles_child,b_emotionsad,-0.35,-0.73,0.04,9.2,0.962
study1_circles_child,b_targetemo:emotionsad,0.37,-0.18,0.91,12.6,0.908
study1_circles_adult,b_Intercept,3.32,3.03,3.6,0,1
study1_circles_adult,b_targetemo,0.87,0.52,1.23,0,1
study1_circles_adult,b_emotionsad,-0.3,-0.65,0.06,12.3,0.95
study1_circles_adult,b_targetemo:emotionsad,0.4,-0.11,0.9,9.2,0.939
